2026-07-26 21:19:11 | stm32u385cg | table_70 | page=132 | Y=5.3.7 Wake-up time from low-power modes and voltage scaling transition times | outline/toc=5.3.8 External clock timing characteristics
2026-07-26 21:19:11 | stm32u385cg | table_74 | page=136 | Y=5.3.8 External clock timing characteristics | outline/toc=5.3.9 Internal clock timing characteristics
2026-07-26 21:19:11 | stm32u385cg | table_79 | page=143 | Y=5.3.10 Flash memory characteristics | outline/toc=5.3.11 EMC characteristics
2026-07-26 21:19:11 | stm32u385cg | table_80 | page=143 | Y=5.3.10 Flash memory characteristics | outline/toc=5.3.11 EMC characteristics
2026-07-26 21:19:12 | stm32u385cg | table_81 | page=144 | Y=5.3.11 EMC characteristics | outline/toc=5.3.12 Electrical sensitivity characteristics
2026-07-26 21:19:12 | stm32u385cg | table_82 | page=144 | Y=5.3.11 EMC characteristics | outline/toc=5.3.12 Electrical sensitivity characteristics
2026-07-26 21:19:12 | stm32u385cg | table_85 | page=146 | Y=5.3.13 I/O current injection characteristics | outline/toc=5.3.14 I/O port characteristics
2026-07-26 21:19:12 | stm32u385cg | table_93 | page=154 | Y=5.3.16 Extended interrupt and event controller input (EXTI) characteristics | outline/toc=5.3.17 Analog switches booster
2026-07-26 21:19:12 | stm32u385cg | table_98 | page=159 | Y=5.3.19 Temperature sensor characteristics | outline/toc=5.3.21 V monitoring characteristics
2026-07-26 21:19:12 | stm32u385cg | table_99 | page=159 | Y=5.3.20 V monitoring characteristics | outline/toc=5.3.21 V monitoring characteristics
2026-07-26 21:19:12 | stm32u375ce | table_69 | page=129 | Y=5.3.7 Wake-up time from low-power modes and voltage scaling transition times | outline/toc=5.3.8 External clock timing characteristics
2026-07-26 21:19:12 | stm32u375ce | table_70 | page=129 | Y=5.3.7 Wake-up time from low-power modes and voltage scaling transition times | outline/toc=5.3.8 External clock timing characteristics
2026-07-26 21:19:12 | stm32u375ce | table_74 | page=133 | Y=5.3.8 External clock timing characteristics | outline/toc=5.3.9 Internal clock timing characteristics
